"Blooket
Import Template",,,,,,,,,,,,,,,,,,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,,,,,,,,,,,,,,,,,
1,f(x) = x² → g(x) = f(x) + 3 [See Graph Q1],Graph moves ↑ 3 units,Graph moves ↓ 3 units,Graph moves ← 3 units,Graph moves → 3 units,20,1,,,,,,,,,,,,,,,,,,
2,f(x) = x² → g(x) = f(x) - 3 [See Graph Q2],Graph moves ↑ 3 units,Graph moves ↓ 3 units,Graph moves ← 3 units,Graph moves → 3 units,20,2,,,,,,,,,,,,,,,,,,
3,g(x) = f(x - 5) [See Graph Q3],Move → 5 units (horizontal),Move ← 5 units (horizontal),Move ↑ 5 units (vertical),Move ↓ 5 units (vertical),20,1,,,,,,,,,,,,,,,,,,
4,g(x) = f(x + 5) [See Graph Q4],Move → 5 units (horizontal),Move ← 5 units (horizontal),Move ↑ 5 units (vertical),Move ↓ 5 units (vertical),20,2,,,,,,,,,,,,,,,,,,
5,f(x) = |x| → g(x) = |x + 4| [See Graph Q5],Points move ← 4 units,Points move → 4 units,Points move ↑ 4 units,Points move ↓ 4 units,20,1,,,,,,,,,,,,,,,,,,
6,f(x) = |x| → g(x) = |x - 4| [See Graph Q6],Points move ← 4 units,Points move → 4 units,Points move ↑ 4 units,Points move ↓ 4 units,20,2,,,,,,,,,,,,,,,,,,
7,"Domain f = [-2, 2], g(x) = f(x) - 4 [See Graph Q7]","Domain stays [-2, 2]","Domain = [-6, -2]","Domain = [2, 6]","Domain = [-4, 0]",25,1,,,,,,,,,,,,,,,,,,
8,"Domain f = [-2, 2], g(x) = f(x - 3) [See Graph Q8]","Domain stays [-2, 2]","Domain = [-5, -1]","Domain = [1, 5]","Domain = [-3, 3]",25,3,,,,,,,,,,,,,,,,,,
9,"Range f = [0, 4], g(x) = f(x) + 2 [See Graph Q9]","Range = [2, 6] ↑","Range = [-2, 2] ↓","Range = [0, 4] same","Range = [0, 6] expand",25,1,,,,,,,,,,,,,,,,,,
