"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,A point in a scatter plot has an x-value that is three standard deviations above the mean of all x-values in the dataset. This point is best classified as:,A point with high correlation coefficient that affects the regression line minimally,A high leverage point that may substantially affect the regression line parameters,An outlier that primarily changes the coefficient of determination when removed,A residual point that indicates poor model fit but has minimal influence,20,2
2,"When a particular data point is removed from a linear regression analysis, the correlation coefficient r increases from 0.65 to 0.89. This point is most likely:",An outlier with a large residual that doesn't follow the general trend,A high leverage point with an unusual x-value following the trend,A low leverage point near the mean of both variables in the dataset,An influential point that primarily affects the y-intercept parameter only,20,1
3,"In examining a residual plot for a linear model, you observe a distinct curved pattern. The most appropriate next step would be to:",Remove all points with residuals greater than two standard deviations,Transform one or both variables to achieve a more linear relationship,Increase the sample size to reduce the effect of individual outliers,Recalculate the regression line using a different statistical software package,20,2
4,A data point has an x-value close to x? but a residual of magnitude 4.2 when all other residuals are less than 1.5. This point should be classified as:,A high leverage point that substantially affects the regression slope,An outlier that may significantly impact the correlation coefficient,A typical point that follows the established pattern in the data,An influential point that primarily changes the x-intercept value,20,2
5,"After applying a logarithmic transformation to the explanatory variable, the R² value increases from 0.42 to 0.78. This suggests that:",The original relationship was already linear and transformation was unnecessary,The transformed model explains more variation in the response variable,The correlation coefficient decreased while the determination coefficient increased,The residual plot will show more pronounced patterns after transformation,20,2
6,A point is identified as both a high leverage point and an outlier. Removing this point will most likely:,Change only the correlation but leave slope and intercept unchanged,"Affect the slope, y-intercept, and correlation coefficient substantially",Impact only the y-intercept while maintaining the original slope,Reduce the standard error without changing any regression parameters,20,2
7,"The mean point (x?, ?) in a dataset has which special property regarding the least-squares regression line?",It always has the largest residual among all points in the dataset,It always lies exactly on the least-squares regression line equation,It determines the correlation coefficient but not the regression parameters,It represents the point with maximum leverage in the regression model,15,2
8,"Income data is often right-skewed because of a few high earners. When studying income versus another variable, applying a log transformation to income typically:",Increases the skewness while preserving the original relationship pattern,Creates more outliers by emphasizing differences in high values,Reduces extreme values while maintaining the relative ordering of data,Eliminates all influential points from the regression analysis completely,20,3
9,A researcher notices that removing points with x-values near x? has minimal effect on the regression line. These points are best described as:,High leverage points with substantial influence on model parameters,Low leverage points with minimal influence on regression coefficients,Outliers that significantly affect the correlation coefficient value,Influential points that determine the strength of the relationship,20,2
10,"When assessing whether a transformation improved model fit, which combination of evidence would be most convincing?",Decreased R² value and more random residual plot patterns,Increased R² value and more apparent randomness in residuals,Unchanged R² value but significantly different regression coefficients,Lower correlation coefficient with reduced variability in residuals,20,2
11,"A point with coordinates (x?, y?) where x? is far from x? but y? falls exactly on the regression line would be classified as:",An outlier because it has an extreme value in the dataset,A high leverage point that follows the general trend perfectly,Both an outlier and high leverage point with maximum influence,Neither influential nor unusual since it fits the model well,20,2
12,"The residual plot for untransformed data shows a clear parabolic pattern. After log-transforming the x-variable, the residual plot shows random scatter. This indicates:",The transformation created artificial patterns that weren't originally present,The linear model is now less appropriate for the transformed data,The transformation successfully linearized the relationship between variables,The original model was actually better despite the curved pattern,20,3
13,"An influential point is defined as a point that, when removed from the dataset:",Always has both high leverage and a large residual value,"Substantially changes slope, intercept, or correlation of the model",Must be located more than two standard deviations from the mean,Only affects the coefficient of determination but not other parameters,20,2
14,"Two models are fit to the same data: Model A uses untransformed variables with R² = 0.55, while Model B uses log-transformed x with R² = 0.82. This suggests:",Model A is superior because it uses the original data values,Model B better captures the relationship between the two variables,Both models are equally valid for making predictions about y,The transformation introduced bias that inflated the R² value,20,2
15,A student claims that any point far from other points must be influential. This statement is:,"Correct, because distance from other points defines influence completely","Incorrect, because a high leverage point might still follow the trend","Correct, because isolated points always have large residual values","Incorrect, because influence depends only on the residual magnitude",20,2
16,"When examining the effect of country wealth on life expectancy, researchers found a curved relationship. The most appropriate transformation would likely be:",Squaring the life expectancy values to emphasize larger differences,Taking the logarithm of wealth to reduce right skewness,Exponentiating both variables to create a linear relationship,Using reciprocals of all values to reverse the relationship direction,20,2
17,A data point has the largest residual in a dataset but an x-value exactly equal to x?. This point:,Cannot be influential because it has low leverage by definition,Is likely an outlier that may affect the correlation coefficient,Must be a high leverage point due to its large residual,Will primarily change the slope but not the intercept value,20,2
18,The primary purpose of transforming variables in regression analysis is to:,Eliminate all outliers and influential points from the dataset,Increase the number of significant digits in correlation calculations,Create a more linear relationship suitable for linear regression methods,Ensure that all residuals have exactly the same magnitude,20,3
19,"A regression analysis yields ? = 15 + 3x with R² = 0.45. After removing one point, the new equation is ? = 8 + 3.1x with R² = 0.44. The removed point was most likely:",A high leverage point that primarily affected the y-intercept,An outlier that substantially influenced the correlation coefficient,A low leverage point with minimal impact on model parameters,An influential point that changed both slope and correlation significantly,20,1
20,"In the context of regression analysis, which statement about the mean point (x?, ?) is always true?",It has a residual of zero and maximum leverage value,It lies on the regression line with a residual of zero,It determines the slope but not the intercept of the line,It represents the most influential point in the dataset,15,2
21,"A dataset shows a strong positive curved relationship. After applying log(x) transformation, the residual plot still shows a pattern. The next step should be to:",Accept that linear regression is inappropriate for this data,Try transforming the y-variable or both variables instead,Remove all high leverage points and refit the model,Conclude that the log transformation made the problem worse,20,2
22,Points that are close to x? on the x-axis are called low leverage points because they:,Have minimal ability to influence the slope of the regression line,Always have small residuals and follow the general trend closely,Cannot be outliers regardless of their y-values in the dataset,Determine the correlation but not the regression coefficients,20,1
23,A transformation is considered successful when comparing residual plots if:,The transformed plot shows a clear linear pattern in residuals,The transformed plot displays more random scatter around zero,All residuals in the transformed plot have the same sign,The range of residuals increases substantially after transformation,20,2
24,The distinction between an outlier and a high leverage point in regression is that:,Outliers have unusual y-values while high leverage points have unusual x-values,Outliers have large residuals while high leverage points have extreme x-values,Outliers affect correlation while high leverage points affect only intercepts,Outliers are always influential while high leverage points are never influential,20,2
25,"When both squaring and logarithmic transformations are possible for linearizing data, the choice between them should be based on:",The original correlation coefficient before any transformation is applied,Which transformation produces higher R² and better residual patterns,The number of outliers present in the original dataset,Whether the relationship is positive or negative in direction,20,2
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
